Date,Open,High,Low,Close,Volume
2019-09-02,590.0,590.0,570.0,580.0,0
2019-09-02,580.0,590.0,575.0,590.0,24866400
2019-09-02,590.0,590.0,585.0,590.0,6517200
2019-09-02,590.0,590.0,590.0,590.0,1333900
2019-09-02,590.0,590.0,590.0,590.0,2266500
2019-09-02,590.0,590.0,590.0,590.0,8100
2019-09-03,610.0,710.0,590.0,660.0,0
2019-09-03,655.0,665.0,620.0,635.0,13705100
2019-09-03,635.0,640.0,620.0,635.0,4294500
2019-09-03,630.0,640.0,620.0,625.0,3603400
2019-09-03,625.0,635.0,605.0,620.0,5605500
2019-09-03,625.0,655.0,615.0,655.0,9176200
2019-09-04,655.0,670.0,645.0,645.0,0
2019-09-04,645.0,655.0,645.0,650.0,3056700
2019-09-04,645.0,650.0,645.0,645.0,2169500
2019-09-04,645.0,650.0,645.0,645.0,314100
2019-09-04,645.0,680.0,645.0,675.0,11121700
2019-09-04,675.0,715.0,670.0,700.0,29972400
2019-09-05,710.0,740.0,700.0,730.0,0
2019-09-05,730.0,730.0,720.0,730.0,2255500
2019-09-05,725.0,740.0,725.0,740.0,3526200
2019-09-05,735.0,740.0,735.0,735.0,581800
2019-09-05,725.0,735.0,710.0,720.0,9724600
2019-09-05,720.0,730.0,720.0,725.0,4586000
2019-09-06,720.0,725.0,690.0,695.0,0
2019-09-06,695.0,710.0,695.0,695.0,6048100
2019-09-06,700.0,705.0,700.0,705.0,2236300
2019-09-06,705.0,705.0,700.0,705.0,5242200
2019-09-06,700.0,705.0,690.0,695.0,4782500
2019-09-09,700.0,710.0,695.0,700.0,0
2019-09-09,700.0,705.0,695.0,700.0,4590800
2019-09-09,700.0,705.0,700.0,700.0,1118500
2019-09-09,700.0,705.0,700.0,700.0,4004700
2019-09-09,700.0,705.0,695.0,700.0,4043500
2019-09-09,700.0,705.0,695.0,695.0,2027700
2019-09-10,680.0,695.0,645.0,655.0,0
2019-09-10,655.0,670.0,655.0,670.0,1219500
2019-09-10,670.0,670.0,665.0,670.0,366300
2019-09-10,670.0,675.0,670.0,670.0,419600
2019-09-10,670.0,670.0,665.0,670.0,523900
2019-09-10,665.0,705.0,665.0,705.0,11222300
2019-09-11,700.0,715.0,695.0,700.0,0
2019-09-11,700.0,705.0,690.0,695.0,1089400
2019-09-11,695.0,700.0,695.0,695.0,2538400
2019-09-11,695.0,700.0,695.0,695.0,1288200
2019-09-11,695.0,700.0,695.0,695.0,2720500
2019-09-11,695.0,700.0,695.0,695.0,1174000
2019-09-12,695.0,700.0,680.0,690.0,0
2019-09-12,685.0,700.0,685.0,695.0,4696600
2019-09-12,690.0,695.0,690.0,690.0,109100
2019-09-12,690.0,695.0,685.0,690.0,1684000
2019-09-12,690.0,695.0,685.0,690.0,5407400
2019-09-12,695.0,695.0,685.0,690.0,1030000
2019-09-13,690.0,700.0,685.0,690.0,0
2019-09-13,690.0,695.0,690.0,690.0,1475700
2019-09-13,690.0,690.0,685.0,685.0,184900
2019-09-13,685.0,690.0,680.0,685.0,6036900
2019-09-13,680.0,685.0,680.0,685.0,1597400
